,Tweets
18,  karena di kanjuruhan yang salah bukan polisi tp tangga dan pintu keluar
19,seorang polisi yang di bantai di rumah polisi banyak polisi telah di pecat dengan tidak hormat bahkan ada beberapa jendral tapi mengapa ratusan rakyat yang di bantai polisi di kanjuruhan belum ada saya dengar seorang polisi yang di pecat dengan tidak hormat pak   
20, polisi yg   tsb adalah polisi yg sebenarnya   oon juga deh yg bilang gangguan jiwa polisi yg gangguan jiwa tuh polisi yg melakukan pembunuhan di kanjuruhan polisi bandar narkoba polisi pungli polisi beking judi polisi sita kta  polisi genk sambo
21,abis kasus fs ada penangkapan kasus narkoba kapolres yg sudah lama kasusnya tdk diproses lalu penangkapan pelaku judi onlen  ada peristiwa kanjuruhan lalu kapolda dan bbrp anggota terlibat jualan narkoba nyolong barang bukti  kesannya polisi sekarang hancur padahal dah lama
22,polisi sebut  orang telah diperiksa sebagai saksi tragedi kanjuruhan malang 
23,pasca tragedikanjuruhan  di kanjuruhan  polisi tidak akan gunakan gasairmata dalam amankan pertandingan  
24,polisi sebut korban tewas tragedi kanjuruhan mayoritas karena gejala asfiksia   sportstars      arenanews   
25,ini kalo bisa ditelusuri dan dicari tau misalnya ada korupsi beneran smpe dia berani begini dan malah dikasih penghargaan bakal balikin martabat polisi dimata rakyat sih yg udh terlanjur krisis kepercayaan sm polisi apalg pasca kanjuruhan 
26,polisi sebut korban tewas tragedi kanjuruhan mayoritas karena gejala asfiksia   sportstars      arenanews 
27,oknum tni yang lakukan tendangan kungfu jadi tersangka tragedi kanjuruhan pusat polisi militer tni ad menetapkan anggota tni berinisial serda tbw sebagai tersangka tragedi kanjuruhan serda tbw  
28, korban tragedi kanjuruhan akan diekshumasi polisi kadiv humas polri ungkap detailnya  
29,irjen teddy minahasa ialah kapolda sumatera barat yang baru saja ditunjuk menjadi kapolda jawa timur ia menggantikan posisi irjen nico afinta buntut tragedi di kanjuruhan pot  polisi polisiterlibatnarkoba teddyminahasa lintasinewspagi mnctvnews 
30, usut tuntas kanjuruhan yang memakan korban banyak atau rakyat turun kejalan percumah lapor polisi mendingan gak ada polisi sekalian
31,standar ganda buzzerp  bela polisi soal tragedi kanjuruhan tp bungkam pujian soal penangkapan bos judi online  krn mrk tau makannya mereka dari uang judi tsb 
32, tv one sdh mulai bangkrut cari duit ke  kelompok genk polisi radikalisme sesungguhnya  kanjuruhan sambo dll  cukong pro islmophobia
33, kok ga komentar soale video narasi  udah ada bukti  mau dimana kemana kasus tragedi kanjuruhan ini  masih sibuk nanganin polisi kena narkoba 
34,pasca tragedi di kanjuruhan polisi tidak akan gunakan gas air mata dalam amankan pertandingan 
35, sama dengan jika polisi tidak menembakkan gas air mata  tragedi kanjuruhan yang menewaskan  jiwa tersebut terjadi apa tidak
36, beban berat perlu refreshing cuma sayang duit rakyat buat gaji pejabat ngga mungkin selesai urusan  kanjuruhan kisruh polisi miris menyengsengser ser seeeer
37,orang pada bicara soal momentum perubahan polisi waktu ferdi sambo   bukan berikut ada kanjuruhan berikutnya ada teddy minahasa   momentumnya tegas terasa
38, tragedi kanjuruhan ini ga cuma salah pihak tertentu doang tapi dari serangkaian kejadian dari semua pihak panpel ga profesional fans ga dewasa yg kalo tim nya kalah ngamuk polisi yg bertindak berlebihan jadwal pertandingan yg dipaksakan dll
39, bahkan ada indikasi bahwa salah satu sebab terjadinya tragedi kanjuruhan adalah kebencian masyarakat terhadap institusi ini bagaimana polisi yg awalnya tenang bisa secara emosional menembakkan gas air mata apakah karena teriakan kebencian massa
40, beredar beberapa isu  kamar isi mayat polisi  tragedi kanjuruhan settingan untuk pengalihan isu  jadi bekingan judi online amp narkoba  sebesar itu powernya sambo
41,bagaimana polisi lalai mengantisipasi tragedi kanjuruhan  di balik beri  lewat 
42,lucu bgt bocil abis ambil rapot keren nilainya a semua hebat  td kaka nanya kl di sekolah ngobrol apa dia blg ngobrol kanjuruhan trs jelasin itu ada berantem gas air mata pak polisi wkwk grgr kl pagi nonton berita sama papi jdnya taunya begituan    
43,      lah ngapain lu bilang seakanakan kanjuruhan versi polisi itu bukti validnya cctv  semua cctv  goblok  gebukin pemain  ga nonton narasi  kalau mau komentar minimal nyari data dulu 
44, bahwa terdapat  cctv dari  gate di stadion kanjuruhan yang merekam kejadian mematikan di sejumlah gate di tribun selatan artinya faktafakta yang terjadi telah terekam dalam cctv yang saat ini telah berada dalam penguasaan polisi dan tgipf
45,pasca tragedi kanjuruhan malang polisi akhirnya memutuskan tidak akan kembali menggunakan gas air mata dalam rangka pengamanan pertandingan sebagai upaya perbaikan regulasi keselamatan dan keamanan  
46, yang justru harus didatangi itu polisi membunuh ratusan rakyat di kanjuruhan belum termasuk pembantaian  dll
47,berita bola terkini  indonesia klik   dugaan perwira polisi beri komando tembak gas air mata dalam tragedi kanjuruhan  
48, kasus teddy kasus kanjuruhan kasus polisi maling dan banyak banget lainnya dibikin list aja gitu
49, oktober  kok iso yo rek aremania   tgipf sebut polisi penembak gas air aata di tragedi kanjuruhan ternyata tak mendapatkan pembekalan soal pelanggaran penggunaan gas air mata  au ah mau marah pokoknya  
50, kisah polisi hoegeng yang menggetarkan hati  takberkategori ferdisambo hoegeng kanjuruhan kapoldajatim 
51,dugaan perwira polisi beri komando tembak gas air mata dalam tragedi kanjuruhan 
52,  statement terbodoh di dunia juga udah pada tau tragedi kanjuruhan karena pembunuhan massal polisi
53,dalam waktu dekat polisi akan periksa  saksi tragedi kanjuruhan  kadivhumaspolri irjendediprasetyo tragedikanjuruhan periksasaksi
54,konferensi pers tim gabungan independen pencari fakta tgipf jumat   tgipf memastikan penyebab kematian massal pada tragedi kanjuruhan di stadion kanjuruhan malang jawa timur akibat tembakan gas air mata polisi di dalam stadion  
55,  lha po hubungane polisi sik knek narkoba karo tragedi kanjuruhan aneh men 
56, kumpulin polisi yang bertugas malam itu dan para panitia pelaksana kemudian dikunci di dalam stadion kanjuruhan lalu di tembak gas air mata kadaluarsa        lebih manusia mati  seperti korban kecelakaan pesawat terbang   
57,perkuat bukti kasus kanjuruhan polisi akan gali makam dua korban  
58,  moga aja anak lu dan turunannya ntah skarang ato kelak bakalan didoain yg  mengalami penderitaan yg  jauh lbh parah  buat lu nihanaknya polisi ga ada hubungannya ama kanjuruhanklo lu ga terima anak lu gua  ya lu jgn  anak polisi yg ga ada hubungannya
59,giwangkara update fakta baru polisi penembak gas air mata di tragedi kanjuruhan ternyata tak mendapatkan pembekalan  giwangkara   melalui 
60,imbas tragedi kanjuruhan polisi kedepankan steward dalam pengamanan pertandingan apa itu 
61,   udah gitu masih ada yg bersikeras polisi ga salah di tragedi kanjuruhan  dari awal juga laporan rs yg menangani bilang kebanyakan korban md karna gangguan pernapasan
62,sambo  kanjuruhan  kapolda jatim jenderal jual sabu belom lagi polisi muda yg jilatin kue hut tni sawah orang tuanya pun belom balik modal itu    pertanyaannya  kok bisaaaaaaaa 
63,oknum tni yang melakukan tendangan kungfu diketahui berinisial sersan dua serda tbw resmi ditetapkan sebagai tersangka tragedi kanjuruhan oleh pusat polisi militer tni angkatan darat puspomad 
64,oknum tni yang melakukan tendangan kungfu diketahui berinisial sersan dua serda tbw resmi ditetapkan sebagai tersangka tragedi kanjuruhan oleh pusat polisi militer tni angkatan darat puspomad 
65,polisi akan gelar rekonstruksi tragedi kanjuruhan kamis  oktober 
66,polri bakal menggelar rekonstruksi terkait tragedi kanjuruhan pada kamis pekan depan polisi bakal mencari tahu arah tembakan gas air mata  
67, gak usah terlalu menyalahkan polisi itu kanjuruhan emang polisinya doang yg salah gak lah gak mungkin  sebanyak itu kalau panitianya benar kalo pelaksananya gak ngejar untuk
68,polisi akan bongkar makam korban kanjuruhan  okezone foto fotogoogle 
69,perkuat bukti polisi akan gali makam dua korban tragedi kanjuruhan 
70,mulai pekan depan polisi akan memeriksa  saksi terkait tragedi kanjuruhan lalu melakukan penggalian kembali atau ekshumasi terhadap dua jenazah tragedi kanjuruhan di malang polhuk adadikompas  
71,mulai pekan depan polisi akan memeriksa  saksi terkait tragedi kanjuruhan lalu melakukan penggalian kembali atau ekshumasi terhadap dua jenazah tragedi kanjuruhan di malang polhuk adadikompas 
72, anu paleng mas don model e wong lek pengen kabeh kebukak bosok e kudu nang jatim sek bosok e polisi petinggi sepak bola dan smuane sing trlibat bal an pas kedaden ndek malang read kanjuruhan disaster iki kapolda kebuka pas mutasi nang jatim pisan wes wes remek
73,polri bakal menggelar rekonstruksi terkait tragedi kanjuruhan pada kamis pekan depan polisi bakal mencari tahu arah tembakan gas air mata  
74,lanjutan kasus pertama adalah pembunuhan terhadap brigadir j yang melibatkan atasannya irjen ferdy sambo   belum selesai kasus ini muncul tragedi kanjuruhan yang melibatkan sejumlah anggota polisi akibat melepaskan tembakan gas air mata ke tribun next
75,kasus ferdy sambo menguak betapa bobrok sekarang institusi polri tragedi kanjuruhan memperburuk citra polisi ditambahtambah dengan kebiasaan berlindung di balik dalih yang dicaricari  susu segelas dirusak nila sekolam 
76,polisi akan lakukan ekshumasi  jasad korban tragedi kanjuruhan 
77,kakek seto kemana   jika kasus kanjuruhan tak menyentuh hati kakek seto karena rakyat biasa bagaiman dengan kasus ini ini sama sama polisi kakek 
78,polisi menjadwalkan hari rabu  melakukan proses ekshumasi atau penggalian kubur terhadap dua jenazah korban tragedi kanjuruhan kemudian setelah itu akan dilanjutkan dengan agenda rekonstruksi pada kamis  
79,polisi akan lakukan ekshumasi  jasad korban tragedi kanjuruhan  temponasional
80,ya allah jauhkanlah aku dari orangorang yang tidak pro dengan korban tragedi kanjuruhan aku takut masuk kantor polisi karena kekerasan fisik ya allah
81,polisi akan gelar rekonstruksi di stadion kanjuruhan ada  orang diperiksa    via 
82,polisi akan melakukan ekshumasi atau penggalian kubur kembali dua korban tragedi di stadion kanjuruhan 
83,tgipf gas air mata picu kepanikan yang berujung tragedi maut gal  kanjuruhan tragedikanjuruhan malang jawatimur tgipf mahfudmd gasairmata polresmalang polisi news berita inews 
84,presiden joko widodo jokowi meminta seluruh jajaran polri bekerja keras mengembalikan kepercayaan masyarakat yang telah turun drastis  koranjakarta polri polisi jokowidodo kanjuruhan narkoba ferdysambo indonesia news update  
85, seharusnya para polisi yg menembakkan gas air mata gadis cantik ini siapapun polisinya yg sdh menembakkan gas air mata di stadion kanjuruhan meminta maaf lah kepada gadis cantik ini ini semua atas perbuatan bejad kalian harus bertanggung jawab kalian
86,rabu polisi lakukan ekshumasi dua korban tragedi kanjuruhan 
87, semangat pak  kasus sambo kanjuruhan polisi pake narkoba dll kami percayakan sama bapak dan jajaran lainnya
88, loh ak kira bahas sambo atau kanjuruhan yg  masalah buat polisi loh lah yapa yaa jauh dari harapan sekali ya
89, orang tewas exco pssi tragedi kanjuruhan kehendak tuhan  koranjakarta pssi kanjuruhan korban polisi sepakbola indonesia news update   
90,boleh gak aremania hadir  ikut membantu lempar gas air mata   gantian duduk penuhi semua area tribun       polri bakal menggelar rekonstruksi terkait tragedi kanjuruhan pada kamis pekan depan polisi bakal mencari tahu arah tembakan gas air mata
91,soal tragedi di kanjuruhanitu murni kesalahan bersama sihya dari penyelenggara nyatv nya polisi sampai penonton nyasemua punya andil yg sama mengganti ketua pssi juga tidak akan menyelesaikan masalahmenurut aku sih begitu ya  
92,perkuat bukti kasus kanjuruhan polisi akan gali makam dua korban 
93,terlepas   lesti kejora memaafkan rizky billar yang sudah sempat ditangkap polisi dan   pak teddy minahasa yang tersangkut kasus narkoba dan  pemanggilanmutasi kepala polisi di istana presiden  yang bisa follow up rekomendasi tgipf itu nanti siapa ya terkait kanjuruhan
94,    yg ditanya kalau suporter aremania gak turun ke lapangan apakah kejadian kanjuruhan terjadi  udah itu aja pertanyaan itu tdk multitafsir kecuali tafsir anda pokoknya kejadian di kanjuruhan hanya polisi yg hrs bertanggung jawab
95,  cittra polri sangat jelek di era rezim jokowi bunuh membunuh sesama polisi kapolda jadi bandar narkoba polisi membunuh rakyat kecil di stadion kanjuruhan pakai gas air mata  semoga rezim jokowi rezim oligarki cepat tumbang
96,rabu pekan depan polisi gali kubur dua korban tragedi kanjuruhan 
97,hahaha kocak    korban tragedi kanjuruhan itu ada  polisi juga loh yg mati 
98,polisi rezim neo pki kejam amp sadis tanpa merasa bersalah km  kasus di bawaslu kanjuruhan dll karena sering makan haram konsumsi narkoba sudah cuci otak di negara komunis china   calon jenderal kuliah kerja nyata di china 
99, tragedi kanjuruhan adalah trargedi kemanusiaan yg sangat luar biasaada bbrapa hal yg perlu di investigasi mendalam  diantaranya adalah   pertandingan    yg sebelumnya dijadwalkan sore      hari beralih ke malam hari  rusuhsuporter  polisi dan tni 
100,polisi amp tni pake alphard istri pake tas bermerek di jalan plat rf sombong    katanya gaji kecil tapi gaya hidup melebihi pengusaha   pengusaha jadi kaya ya wajar polisi dan tni usaha apa kan ga boleh usaha   mereka bisanya nindas rakyat salah satu bukti  kanjuruhan 
101,kehilangan dua putrinya dalam tragedi kanjuruhan seorang ayah mendesak polisi untuk mengotopsi keduanya ia ingin buktikan kondisi tidak wajar kedua putrinya menyusul pernyataan polisi bahwa gas air mata tidak mematikan indosiarberita   berita lainnya  
102,dulu kecil tiap orang tanya cita cita pasti gue jawab jadi polisi nyokap bilang suruh cari cita cita yang lain kata dia kepolisian indonesia adalah salah satu tempat kotor di  ini akhirnya gue ngerti maksud nyokap mulai dari sambo kanjuruhan sampe kapolda tolol
103,sambo kanjuruhan teddy kumpul di istana polisi dominasi pemberitaan media keren 
104,beda dg sikap ah yg tegar bertanggungjawab  kenapa pssi dan polisi masih cuci tangan di tragedi kanjuruhan 
105,nisa saguanto hingga febi jadi korban hidup polisi masih klaim tragedi kanjuruhan bukan karena gas air mata 
106, sampai harus disentil presiden langsungklo ga ada perbaikan lebih baik mundur ajaimage lg di titik nadirkmarin sambo skrg kanjuruhanjgn kaget kalau masyarakat sudah ga ada respect ke polisi
107,gas air mata menjadi penyebab tragedi kanjuruhan polisi harus dibekali aturan fifa tentang penanganan massa 
108,pekan depan polisi akan gali  kuburan korban tragedi kanjuruhan 
109,    keren lo bobotoh di cap kelompok pembunuh berarti logika lo seluruh polisi indonesia pembunuh karena yg membunuh kan di kanjuruhan polisi biasanya yg bilang tolol lebih tolol
110,polisi bakal melakukan proses ekshumasi atau penggalian kubur terhadap dua jenazah korban tragedi kanjuruhan malang jawa timur 
111, saksi tragedi kanjuruhan bakal diperiksa polisi pekan depan 
112, saksi tragedi kanjuruhan bakal diperiksa polisi pekan depan 
113,aremania minta polisi hentikan intimidasi terhadap korban tragedi kanjuruhan 
114,manfaatkan tragedi sambo amp kanjuruhan sbg moment unt benahi sistem kepolisian mulai dari sistem rekrutmen sistem pendidikan sistem kenaikan pangkat yg transparan dan akuntabel  perlu psychotest amp menandatangani pakta integritas bagi slrh personil polisi  semangat presisi 
115,berkaca kejadian di stadion kanjuruhan malang yang mengakibatkan ratusan supporter mengalami luka dan meninggal dunia salah satu yang paling disorot adalah oknum polisi why 
116,makin banyak kasus yang melibatkan polisi ferdy sambo kanjuruhan sekarang teddy minahasa kepercayaan publik pada polisi semakin menurun dan mungkin saja angka kriminalitas bakal meningkat  jadi takut aku boleh ke kosan kamu nggak
117,polisi bakal memeriksa  saksi pada pekan depan di tragedi kanjuruhan malang jawa timur polisi 
118,   tolong pak buat kami percaya dengan polisi lagi nangis bgt liat tragedi kanjuruhan
119, maap bos  iklim sedg ga ngetrend di indo  kita bahas  sambo dan berita turunan nya  kanjuruhan dan berita turunan nya  tedy dan berita turunan nya  pokoke yg berhubungan dgn polisi dah  kalau bahas iklim bahas banjir nanti merembet ke  you tau lah   
120,usai tragedi kanjuruhan polisi tak akan gunakan lagi gas air mata di stadion 
121, berarti bakal babat habis sambo penembak gas air mata di kanjuruhan dan polisi yang ngedar narkoba kan pak keren
122,tgipf menyatakan pengurus persatuan sepakbola seluruh indonesia pssi harus bertanggung jawab atas insiden kelam yang menewaskan  orang tersebut  koranjakarta pssi mahfudmd tgipf kanjuruhan iwanbule malang polisi indonesia news update  
123, pak jokowi emang benar ada beberapa kapolda yg positif narkoba saat tes urine di istana kalau benar sikat aja pejabat polisi yg gak  yg terlibat narkoba judi online kekerasan di kanjuruhan langsung sikat semua
124, bgmn mengembalikan citra yg sdh rusak aparat yg hrs nya menegakka  keadilan dan hukum justru melanggar hukum  terlalu bnyk ketidak adilan tragedi bawaslu  brigadir j kanjuruhan penangkapan ulama dan aktifis yg dilakukan polisi mslh tiada akhir
125, masih percaya polisi dari kasus pembunuhankasus judikasus pemerkosaankasus perampokankasus kematian massal kanjuruhan beruntun terbongkar bobroknya
126,rentetan kasus ini semua nyambung ga si  mulai dari sambo  kanjuruhan  dan polisi bintang duwa ketangkep narkoba   bener juga kata orang orang  sebusuk busuknya bangkai  kelak akan tercium juga  kebenaran takan pernah mati  lawannn
127, tragedi kanjuruhan akar masalahnya polisi sepak bola nasional kena imbasnya
128, gak usah kan kata polisi tragedi kanjuruhan bukan karena gas air mata tuh ruangan dikunci dari luar trus dilempar gas air mata
129, hukuman mati  sambo enggak  polisi yang kemarin jadi pelaku tragedi kanjuruhan enggak  polisi yang bantai  laskar fpi enggak 
130, kanjuruhan  sambo  ca polda drug dealer  polisi idr
131,  gerombolan mereka lihai main drama dan tdk punya malu bila fakta nya terungkap  yg kemaren di kanjuruhan soal penjual dawet ternyata kader psi yg main   anehnya polisi melakukan pembiaran apakah krn intitusi itu banyak masalah yah 
132,kasus polisi yang terjerat transaksi narkoba dan polisi yang terjerat dalam kasus judi online jangan sampai memutus fokus masyarakat terhadap tragedi kanjuruhan yang masih belum usai
133, sejujurnya tambah turun pak sejak sadar ada gangster di kepolisian macam sambo lalu ternyata polisi pun nggak profesional menangani kerusuhan kanjuruhan pencurian motor oleh polisi sekarang sekelas irjen jualan make narkoba dan menggelapkan sabu barang bukti buat dijual
134,   polri punya jabatan jangan seenaknya saja melakukan sewenang wenangan dengar di berita polisi ada yg bandar narkoba bandar judi onlin dan jg di medan polisi merampok motor warga dan jg di kanjuruhan polisi menembak gas air mata mohon maaf   pkpresjkwi ri   nkri  
135,benar kapolri  polri harus sllu laksanakanampteruskan  yg diajarkanampditeladankan olh almarhum jendral polisi hoegeng is maka  terkait sambo judi online kanjuruhannarkobajg  agar jadi momentum lanjutkn kiprah polisi yg benar spt jend hoegeng 
136, bgmn hukum dpt di tegakkan kl aparat nya justru melanggar hukum itu sndr  tiap hr ada sj oknum intropeksi kmbl pak mngkn ini buah dr ketidak adilan tragedi bawaslu  brigadir j kanjuruhan penangkapan ulama dan aktifis kg kritis dll semua melibatkan polisi
137,       ibarat polisi di ring tinju  kasus sambo  kasus stadion kanjuruhan dan terakhir kasus irjen teddi minahasa   pukulan yang membuat polisi terjungkal knock down  wasit menghentikan permainan  polisi game over 
138,merangkak pasti dalam kegaduhan kanjuruhan jual beli narkoba militansi polisi dan kebohongan publik serta buruknya manajemen pemerintahan dan tata kelola keuangan republik ini hening  posisi  oktober  
139,  ini kapolri yang lemahkok tidak tahu bermasalah tetap di lantik jadi kapolda bertubi tubi tragedi polisi terjadi berat sebelumnya sambo kanjuruhan potong saja kepolisian  generasi bila perlu polisi dipimpin saja sama letkol pangkat tertinggi  
140,polisi memberikan trauma healing kepada ibu korban mahtumah yang mengalami trauma karena meninggalnya sang anak akibat tragedi kanjuruhan 
141,perkataan sambo mulai terlihat semua kalo saya jadi tersangka dan tertangkap rahasia negara akan saya bocorkan terlihat semua kejadian di indonesia semakin keruh citra polisi semakin hancur dan di tambah lagi kejadian polisi yg baru atas kasus kanjuruhan dan kasus narkoba
142,  sebenarnya sudah clear tinggal proses hukum polisi sudah pasti salah aremania pun ada yg salah siapa yg minta maaf dluan secara tulus pasti yg paling dihargai kanjuruhan bukan hanya merubah hubungan antara bonek dan aremania tp menjadi titik balik seluruh suporter indonesia
143,  pak polisi ga ada bantuan penanganan trauma dan kesehatan korban kanjuruhan
144,  bisa juga tragedi kanjuruhan udah ada pengaturan secara tingkatan polisi masak goblok berjamaah yang katanya mengatasi kericuhan suporter
145,apdetan kasus sambo  kanjuruhan mana nih teralihkan laler dan polisi narkoba narkotika dan cilukba  
146,viral polisi sujud massal minta maaf tragedi kanjuruhan bagaimana hukumnya dalam islam 
147,polisi yang tembakkan gas air mata di stadion kanjuruhan ternyata tak dapat pembekalan  
148,siapa yang kaga kecewa dah dari kasus sambo sampe kanjuruhan semuanya berbelit belit dan lelet banget penanganannya ditambah skrg yang atasannya jadi bandar narkoba wkwkwkwkw sumpahh awikwok bgt tu polisi 
149,it was a really tough week ya soal kdrt artis hasil tgpf kanjuruhan dan ditutup dengan skandal pak polisi it s not going to be a quiet weekend in social media  
150,tragedi kelam ratusan orang meninggal di stadion kanjuruhan malang adalah sebagai tanda bahwa betapa gobloknya para polisi di indonesia
151, ngalahin brevetnya polisi amrikpas dalam gedung gitu tembakin gas air mata seperti ditribun kanjuruhankatanya pa dedi kan gak membahayakan mata   
152,km  sambo tragedi kanjuruhan sekarang jendral kena narkoba luar biasa polisi kita
153, buang waktu polisi ajah tu ummiiii ngurus sambo sama kanjuruhan jg blm kelarrrrr     kebanyakan di manja tv ikan terbang siih gitu    
154, pecat jendral lingkaran sambo pecat jendral lingkaran judi  pecat jendral lingkaran narkoba  pecat jendral lingkaran kanjuruhan   baru tuh polisi bisa lebih baik
155, berharap ada advokat baik hati bantu para korban yg cacat tuntut negara utk bertanggung jawab   pecat dan adili semua polisi yg terlibat langsung dan tidak langsung dlm pembunuhan massal kanjuruhan
156, sangat prihatin polisi sekarang sungguh kasian rakyat indonesia punya polisi dengan kualitas dan perilaku kyk saat ini   menunggu aksi nyata pak kapolri pecat dan adili polisi yg terlibat langsung dan tidak langsung di pembunuhan massal kanjuruhan sambo judi dan narkoba
157,tgipf meminta polisi untuk melanjutkan pengusutan kasus tragedi stadion kanjuruhan pada  oktober  lalu sampai akarakarnya  
158,tgipf meminta polisi untuk melanjutkan pengusutan kasus tragedi stadion kanjuruhan pada  oktober  lalu sampai akarakarnya  
159,aremania minta polisi hentikan intimidasi terhadap korban tragedi kanjuruhan  baca juga berita dari media lainnya di indonesia di    tpfaremania tragedikanjuruhan polri kontras andyirfanjunaedi
160,aremania minta polisi hentikan intimidasi korban tragedi kanjuruhan  baca juga berita dari media lainnya di indonesia di    tpfaremania tragedikanjuruhan polri kontras andyirfanjunaedi
161,hasil investigasi gas air mata penyebab utama korban jiwa tragedi kanjuruhan tgipf juga mendapati bahwa polisi tidak terinformasi tentang larangan penggunaan gas air mata sesuai aturan fifa  tragedikanjuruhan gasairmata  
162,sejak  awal istriku sudah tidak pernah masuk kanjuruhan tadi tibatiba chat begini ya benar polisi bajingan  usuttuntastragedikanjuruhan 
163,tragedi kanjuruhan usut tuntas  yang murni adalah kemanusiaan dimana supporter vs polisi poin poin yang diminta supporter jg hrs relevan sama situasinya pssi lg terjepit tinggal dikawal  utk revisi sistem yg rusak
164, jelas polisi bgst ini awalnya gw hanya menyalahkan supporter yang primitive setelah melihat video investigasi alasan polisi semua doesnt make sense at all konteks gue di dalam tribun bukan di luar video ini clear kanjuruhan jadi tumbalpolisi this is not oknum anymore fvk
165,   di kanjuruhan itu banyak polisi tapi ko ada pembunuhan massal bang gimana tuh
166,cctv kanjuruhan yg merekam pelaku penutup gate stadion demi pengamanan pemain persebaya apa tidak ada ya setidaknya yg memperlihatkan pihak mana yg melakukan apakah polisi brimob tni panpel suporter atau tim narasi tdk memiliki rekaman cctv sama sekali bang  
167,asa blm pupuspolisi smakin brbenah salut buat pak listyo sigit ga bs bayangin kalo polisi mogok kerja gmn jadinya negara ini smoga harapan ini ga cuma mimpi tinggal sdikit lg pakkepalang tanggung bukan hanya mutasi hukum berat yg trbukti brsalah atas tragedi kanjuruhan
168,skakmat jurnalis asing kritisi polisi gegara klaim gas air mata tak sebabkan tragedi kanjuruhan   jumat  oktober  ada  meninggal  tgipf kapolda irjen teddy minahasa usuttuntastragedikanjuruhan usuttuntastragedikanjuruhan
169,   saya mendukung kapolri yg saya tidak suka adalah ketika ada oknum polisi bermasalah institusi di  kapollri mau di turunkan pertanyaan saya apa maksud dari semua ini kanjuruhan itu bukan salah polisi tapi ulah suporter
