,Tweets
20, klo yg jahat itu cm satu orang bolehlah sebut oknum klo yg diperiksa kasus sambo nyaris  yg mafia narkoba dah buanyaaaaakk itu namanya kelompok polisi🤣🤣🤣
21, kalau mau jadi kaya jangan jadi polisi tapi jadilah teddy
22, sambo teddy irjen palsukoq  nya yg pilih kapolrilucusaking sng  digundulskrg ndlosorkabeh🤣 pikirèn dewekoq nama bisa ke kapolri angkatan sambo  bkn akpolbli seragam didikan mulyosari cina medan utk kadet polisi pesaing akpol heran dech
23, salah satu idola jg nih semoga tetap jd polisi yg baik ya pak dan gak melakukan hal bodoh kayak sambo atau kapolda jatim
24, sebaliknya oknum polisi di mabes dan polda bisa intervensi kasuskasus yg ditangani polres makanya saat kasus  sambo mencuat bandar yg tertangkap kemudian mengatakan sandi konsorsium polisi wilayah tidak berani memroses
25,polisi indo lg banyak bgt masalah sie pusing masalah sambo gas air mata narkoba mobil sirine
26,but im still curious that hartanya doi tembus rp  m mestinya lebih inimah yakali polisi terkaya tapi aset yg didata cmn segitu doang hhhh 
27, pak kapolri kalau mau dpt hatinya rakyat supaya cinta lagi dg polisi setelah sambo kanjuruhan dan teddy dll yg msh banyak lakukan transparansi mulai penyidikan bandar judi perusak bangsa ini sampai persidangan jgn diem² seperti selama ini kasus bandar kakap selalu senyap
28, ngene iki garai penyintas kdrt disepelekan nek onok sing lapor ng polisi  dianggap halah palingan dicabut dan berdamai  ws kasuse mengalahkan kasuse sambo sampai dadi perhatian satu indonesia
29, makin banyak kasus tntg oknum polisi mnjelang prsidangan sambo
30, pak kapolri  ada baiknya membentuk tim khusus yg mengawasi gaya hidup para anggota polisi dan keluarga nyakalau hidup nya terlampau wah dan mewah seperti sambo harus diterjunkan intelijen kekayaan nya didapat dari mana
31,gue masih ngakak tp bukan karna nino diintrogasi  bapak gue nyeletuk lah akhirnya polisinya ganti dan pinter yg dulu mungkin ikut sambo ya soalnya kerjanya gk bener 🤣🤣🤣 polisi ic yg dulu anak buah sambo ya pak ya ampun aku ngakak 
32, coba cek jauh kebelakang pak masalah kepercayaan publik yg menyusut terhadap polisi sdh muncul jauh sebelum kasus ferdy sambo hestek percumalaporpolisi janganlaporpolisi jg sdh ada sebelum kasus sambo
33,sejak kasus sambo toko ini tutup beberapa harisekarang buka lagi seperti biasatapi mau kemana lagi mengadu masyarakat  bohong kalo ada polisi gak tau jual apa toko ininanti klo masyarakat ngadu malah dikriminalisasi  
34, mungkin jauh sebelum kasus ferdy sambo citra polisi memang udh rendah dan hesteg percumalaporpolisi janganlaporpolisi jg udh ada sebelum kasus sambo pak
35,kehormatan dua jenderal polisi bintang dua lenyap seketika irjen teddy minahasa nyabu berbisnis dengan mami linda ferdy sambo habisi nyawa ajudan 
36,kenapa ribet soal  di kepolisian kan petunjuk awalnya ada pada sambo  buka saja buku hitamnya lumayan bisa membersihkan sekian persen pol isi rp  polisi kotor  selanjutnya bersihkan total  beranikah pak  
37,polisi langka ‼️ 😱    walau hanya dihitung oleh jemari  ternyata masih ada polisi yang tidak tersambosambo ‼️ 🤣🤣
38,  hahahahahadensi masih terkagetkaget dgn seluruh pimpinan polisi dipanggil presiden dan takut ada lakon baru setelah sambo dan teddy
39,pak kapolri itu sebenarnya tau siapasiapa oknum polisi yang jadi beking bandar judi kaitan sambo n konsorsium  juga siapa big boss nyakan ana pernah bilangana n team mau kok menggantikan kapolri untuk sementarakalau institusi polri sudah bersih ana kembalikan lagi😆✊ 
40,nah seharusnya polisi yang s seperti ini diperbanyak bung   bukan seperti sambo dan tedi   pertanyaannya adalah  masih berapa banyak  dan tedi disana   salam presisi  
41, polisi yg   tsb adalah polisi yg sebenarnya   oon juga deh yg bilang gangguan jiwa polisi yg gangguan jiwa tuh polisi yg melakukan pembunuhan di kanjuruhan polisi bandar narkoba polisi pungli polisi beking judi polisi sita kta  polisi genk sambo
42, dari dulu masyarakat itu mana prnh yg percaya dg polisi walau blm ada kasus sambo
43,semenjak kasus sambo tiap hari polisi muncul terus di headline berita  entah narkoba pembunuhan selingkuh pungli kekerasan  mungkin ini cara tuhan mengembalikan spirit jemdral hoegeng🤔
44,proses hukum sambo bagaimana semoga kapolri di beri keberanian memberantas polisi yang tidak baik di instansi polisi 
45, halahhhhh ntr lama lama bisa k baca juga kasus ini larinya kmn semenjak kasus sambokasihan juga nama polisi tercorengtapii ga nyangka aja kok d dlm kepolisian jadinya kyk gini ya
46, rival nya sambo dia di karir kepolisian polisi rasa artis hehehe
47, tanpa kasus sambo pun sebenarnya kepercayaan masyarakat ke polisi sudah buruk mau gimana lagi orang bikin surat kehilangan saja disuruh gak ada ongkos ketik nih 😏 yg nilang di pinggir jalan aja nawarin enaknya gimana njh mau urusan panjang apa pendek 😊
48,presiden jokowi tingkat kepercayaan pada polisi ambrol gara – gara kasus fredy sambo 
49,menjadi sasaran tapi alhamdulillah para penggiat lpsk tidak mau menerimanya bahkan dilaporkan bahwa ada upaya penyuapan nampaknya fredy sambo mantan oknum polisi ini telah terbiasa melakukan hal sedemikian rupa itu suapmenyuappungli di lingkungan institusi tempat ia
50, aset dan rekening nya bekukan biar gak punya nyali buat lawan hukum seperti sambo uang nya masih cairrekening nyaasih aman berani lawan hukum coba di pikir sama para jaksa dan polisi yg masih bersih  bekukan rekening sambo dan teddy biar pada manyun
51,presiden jokowi menyebut bahwa kepercayaan masyarakat terhadap polri turun drastis setelah munculnya kasus ferdy sambo jatimnow presidenjokowi polri polisi 
52, tv one sdh mulai bangkrut cari duit ke  kelompok genk polisi radikalisme sesungguhnya  kanjuruhan sambo dll  cukong pro islmophobia
53, pak kapolri akhirnya ada contoh figur polisi yg hrs menjadi catatan seorang polisi kapan dan dimana figur pertama adalah jendral hoegeng jendral polisi idealis yg hrs jadi panutan setiap polisi gambaran polisi baik kedua jendral sambo dan jendra tedy gambaran polisi jahat
54,       lu tag gituan ga ngaruhh cil mau tag jokowi atau soekarno sekalipun 😂orang gua ngomong fakta kalau oknum nya lebih bejadnohh kasus mutilasi di papua  ama kasus sambonohh jual amunisi ke opm lebih bangsat daripada polisi buncit di jalanan
55,  menyerang aparat itu jelas clear tindakan pidana tapi aparat menyerang orang teriak sambo itu gag ada dasar hukum yang membenarkannyadana  dikasih ke polisi itu bukan duit yang sedikit supaya jadi profesional dalam bertindak
56,mesinnya polisi terasa sekali fokus pada urusan sambo kampanye media untuk lokalisasi kamera narasinya menutup kasus dengan melimpahkan ke pengadilan   kasus teddy minahasa ini gak disiapkan kamera khusus
57, perbaiki juga institusi polri pak saya udah bosan dengar berita polisi busuk kemarin si bangsat sambo sekarang jancuk teddy bear
58,orang pada bicara soal momentum perubahan polisi waktu ferdi sambo   bukan berikut ada kanjuruhan berikutnya ada teddy minahasa   momentumnya tegas terasa
59, sambo polisi kristen mafia narkoba bangsat keparat
60,jokowi ferdy sambo bikin kepercayaan masyarakat pada polisi runyam 
61, beredar beberapa isu  kamar isi mayat polisi  tragedi kanjuruhan settingan untuk pengalihan isu  jadi bekingan judi online amp narkoba  sebesar itu powernya sambo
62, polisi yg punya kutil di wajah knpa  mulai dari randyferdi samboteddy😵‍💫
63,kapolda jatim ya allah aparat kita ternyata  teruskan bersihkan institusi polisi dari perbuatan perbuatan tidak terpuji seperti kapolda jatim dan sambo 
64, polisi sambo penghianat nkri harus dibersihkan dari republik ini
65,polisi yg pulang dari istana lgsg gathering seraya sebat sambil mbatin ‘oalah mbo sambo’
66,polisi  liat aja sambo 
67, melacak balik jauh kebelakang sebelum sambo emang udah turun rasa percaya ke polisisebut saja oknumyg melakukan perbuatan tercela bahkan melanggar hukum jauh dr kata mengayomi dan melayani  bisa diliat di hestek percumalaporpolisi dan banyak lagi tuh coba cek pak 
68,  bubarkan dulu satu generasi jiwa biadab sambo ini baru bisa lurus lagi polisi ini
69,nahgua suka polisi begini 
70,gak gitu juga pak   coba pak jkw cek hesteg yg ramai tentang kemuakan publik terhadap polisi seperti janganlaporpolisi percumalaporpolisi dll itu sudah ramai sebulum kasus sambo mencuat ke permukaan 
71,   iya pak jangan korupsi jangan jadi kaya sambo dan jangan sampe jual narkoba ber kilo kilo pak kita udah krisis kepercayaan sama polisi tetap merendah untuk meroket pak
72,kalau anda sdh mengikuti polisi sy berharap bertoleransi ikut menjaga integritas sebab yg salah sambo dan kelompok yg pro sambo itulah strategi ulung srikandi dlm pewayangan sebab masih banyak polisi yg bijak jangan mengikuti arus gusdur hanya   polisi yg jujur opini itu salah
73,dari bagan ini kita akan lihat polisi saling sikat saling nangkap saling penjara geng sambo pasti melawan gegara sendirian menghadapi kasus nya  nantikan cerita lanjutan😊 
74, pantas saja sambo gk  ternyata bner kata orang byk pengang semua kartu polisi
75, hahahamana polisi mau keluar uang sendiriapalagi  ini skrg sedang terjadi perang kubu sambo utk mendongkel kapolrinamun korban polisi yg nakal akan berjatuhan
76,kembali  ke  tni    institusi  kepolisian  selamatkan    ribu  personil  polisi yang loyal  amanah  berdedikasi  copot  kapolri jend lsigit  prabowo tidak  cakap  jadi  komandan blunder gaduh  trauma  satgassus sambo judi  online  narkoba teddy dodi  gas air mata  pssi 
77,bubarkan  institusi  kepolisian  gabung  dengan  tni  selamatkan   ribu personil  polisi yg loyal  amanah  berdedikasi  copot    kapolri  jend lsigit prabowo tidak  cakap jadi komandan  trauma  satgassus sambo  gas air mata  pssi  narkoba teddy minahasa dodi  judi  online 
78,  kalau nggruduk polisi sambil teriak sambo sambo sambo sambo dgn ribuan org yg kalap gitu masa nyerah dah pukul semau mu yea habis aparat makanya hidup jgn terprovokasi sikap beringas itu sikap binatang buang jauh jauh
79,litsus semua pak… jokowi nilai kasus sambo buat kepercayaan publik ke polisi runyam 
80,dalam paparannya jokowi menyinggung soal ferdy sambo hingga gaya hidup polisi berikut arahan lengkapnya kumparannews 
81,jokowi kasus ferdy sambo hancurkan kepercayaan publik ke polisi   
82,kasus pembunuhan brigadir joshua memasuki babak baru saksikan dalam live streaming di laman mnc portal okezone sindonews  senin  oktober  pukul  wib  brigadirj ferdysambo putricandrawathi  polisi 
83, polisi indonesia nggak ada yangseperti jendral hogeng adanya sambo sambo  😁😁😁😁
84, hukum mati sambo dan teddy pak biar jadi pelajaran polisi yang lainnya biar gag banyak gaya hidup mewah di tengah masyarakat hidup susah
85,  moga aja anak lu dan turunannya ntah skarang ato kelak bakalan didoain yg  mengalami penderitaan yg  jauh lbh parah  buat lu nihanaknya polisi ga ada hubungannya ama kanjuruhanklo lu ga terima anak lu gua  ya lu jgn  anak polisi yg ga ada hubungannya
86,ngejual narkoba sitaanbarang bukti udah jadi rahasia umum di sirkel polisi dari dulu hastag ytta  thanks to ferdy sambo sekarang rahasiaumum tadi lebih gampang buat ditelanjangin ke publik amp ga lagi ditelen sebagai hal yg wajar tapi bukti rusak nya institusi polisi indo 
87,sambo  kanjuruhan  kapolda jatim jenderal jual sabu belom lagi polisi muda yg jilatin kue hut tni sawah orang tuanya pun belom balik modal itu 👀  pertanyaannya ‘kok bisaaaaaaaa’
88, perasaan sblum kasus sambo kepercayaan publik ke polisi udh runyem kemarin marin kebanyakan oknum pak oknumnya kluh di kumpulin bisa buat kota sndiri
89,kok gak ada bersalahnya sih pak harusnya polisi bisa lebih tegas sama bawahannya tapi kenapa ini kek lempeng banget gitu apa karena sambo  
90,lanjutan kasus pertama adalah pembunuhan terhadap brigadir j yang melibatkan atasannya irjen ferdy sambo   belum selesai kasus ini muncul tragedi kanjuruhan yang melibatkan sejumlah anggota polisi akibat melepaskan tembakan gas air mata ke tribun next
91,usai kasus ferdy sambo kini kapolda jawa timur irjen teddy minahasa kata jokowi polisi berhatihati 
92,kasus ferdy sambo menguak betapa bobrok sekarang institusi polri tragedi kanjuruhan memperburuk citra polisi ditambahtambah dengan kebiasaan berlindung di balik dalih yang dicaricari  susu segelas dirusak nila sekolam 
93, polisi di tangkap polisi klu sambo di tangkap
94, yaudah kalo sans haloweenan cosplay jadi sambo kalo nggak polisi
95,   polisi seindonesia sambo semua😂
96,prescon pake polisi brimob bawa senjata lengkap kayak pak sambo juga dong 🫣🫣 
97,  harus vonis matipasti kekayaannya dari situberapa sihh gaji bintang dua polisiwkwkwk kalo dgr berita keknya sih bau balas dendam nihsibotak nangkapin bandar kakap judi disumatra geng nya sambo kaliigeng sambo balas nangkap sibotak yaajudi vs narkoba🤣🤣
98, klu mau memperbaiki kepercayaan rakyat buktikan dg menghukum sambo and the gank dg seberat beratnya lngsung aj d hukum mati baru percaya polisi lg
99, semangat pak  kasus sambo kanjuruhan polisi pake narkoba dll kami percayakan sama bapak dan jajaran lainnya
100, loh ak kira bahas sambo atau kanjuruhan yg  masalah buat polisi loh lah yapa yaa jauh dari harapan sekali ya
101,semua polisi memakai narkoba dari berjutajuta ton shabu yang di ungkap  ton sisanya di pakai oleh mereka geng sambo
102,  kadrun apa apa mubahalah ndak beres diganti ya biasa aja institusi polri ttp berdiri tegak walau ribuan polisi seperti tm atau sambo yg siap menggantikannya personil lain banyak pendukung anies gini amat pemahamannya
103,bahas apa pak mau bahas citra polisi yg lagi menurun drastis semenjak sambo ditambah lagi kemarin ada yg menyimpan sabu 
104,dari sejak polri berdiri smp skrg hny ada satu polisi bersih n jujur yakni jenderal hoegeng yg lain ya macam sambo cs lah atau si bandar sabu teddy minahasa  tinggal anda pak kapolri tegas lah dikit jd kapolri yg sat set gitu lah 🔥  
105,sambo ga ada kabar pssi tanggung jawab lu buset dah polisi lagi polisi kapolda bintang  knpa lagi tu polri lagi bersih²perasaan dri kemarin bersih² mulu 🤤
106, sebelum si sambo jadi bandit terkenal dia itu sebenernya bandit berdasi sudah rahasia umum kok polisi indonesia nilainya dibawah standar
107,dulu kecil tiap orang tanya cita cita pasti gue jawab jadi polisi nyokap bilang suruh cari cita cita yang lain kata dia kepolisian indonesia adalah salah satu tempat kotor di  ini akhirnya gue ngerti maksud nyokap mulai dari sambo kanjuruhan sampe kapolda tolol
108,  sst  kasus sambo semua polisi sampe jenderalpun makin  😌
109, sebenarnya rakyat memang takpercaya polisi berdasarkan kasur yg  dialami dengan kasus sambo terkua bahwa keburukan polisi benar adanya bukan hanya yg rakyat alami sendiri
110,sambo kanjuruhan teddy kumpul di istana polisi dominasi pemberitaan media keren 
111,nggak kaget polisi saling bongkar kebobrokan masingmasing  kan perlawanan geng sambo baru dimulai  setelah ini juga bakalan rame
112,jokowi nilai kasus sambo buat kepercayaan publik ke polisi runyam  news update twitter 
113, sampai harus disentil presiden langsungklo ga ada perbaikan lebih baik mundur ajaimage lg di titik nadirkmarin sambo skrg kanjuruhanjgn kaget kalau masyarakat sudah ga ada respect ke polisi
114,jokowi nilai kasus sambo buat kepercayaan publik ke polisi runyam 
115, yang beneer pak sigityaa kita sih cuma liat aja deh sm doa kan smg polisi cpt sembuh dari kerusakan mental anggotanya yg menyakiti rakyatgk semua tapi banyaksemangat pak beresin kasus sambo yg benerbosen lama” liat keleletan kinerja polisi
116,jokowi nilai kasus sambo buat kepercayaan publik ke polisi runyam 
117, halaaaahh kintildrama apa lagi  emang kita bakal percaya gitu apalagi yg kena kasus polisi berpangkat tinggikasus si sambo saja gak beres beres ngalahin drama si lesti
118,    sabar napah orangorang lagi pada sentimen sama polisi gegara kasus sambo dan teddy 
119,video jokowi singgung kepercayaan ke polisi anjlok imbas kasus sambo 
120,polisi  sambo bola narkoba  
121,kasus sambo sama sekali ga pernah nongol di tl ga tau sekarang udah sampe mana kasusnya sejak muncul berita tentang penjual dawet suami ayu dewi selingkuh kdrt rizky billar dan sekarang polisi tertangkap karena narkoba
122, kerja polisi tidak memuaskan   hukum hanya tajam kebawah tapi tumpul ke atas kasus subang belum terpecahkan hukuman koruptor ringan amp masalah joshua saja polri ga transparan kalo ga di demo dan ditekan netizen polisi juga ga bakal nahan putri sambo
123,jangan  kasih aplaus skrg ini masyarakat lagi menyorot isu perang bintang dua kubu kubu judi onlen konsorsium  vs kubu polisi narkoba sambo dikurung ketangkep jenderal jualan narkoba besoknya ketangkep gembong judi onlen apin bk besok giliran kubu mana yg diserok 
124,manfaatkan tragedi sambo amp kanjuruhan sbg moment unt benahi sistem kepolisian mulai dari sistem rekrutmen sistem pendidikan sistem kenaikan pangkat yg transparan dan akuntabel  perlu psychotest amp menandatangani pakta integritas bagi slrh personil polisi  semangat presisi 
125,makin banyak kasus yang melibatkan polisi ferdy sambo kanjuruhan sekarang teddy minahasa kepercayaan publik pada polisi semakin menurun dan mungkin saja angka kriminalitas bakal meningkat  jadi takut aku boleh ke kosan kamu nggak
126, polisi berpangkat jenderal memiliki dan mengedarkan narkoba rasanya sama bahkan lebih kejam dari perbuatan ferry sambo maka harus dihukum paling berat
127,profesi lain sbg oknum polisi sbg pedagang narkoba wajar tm memiliki harta  m lbh lbh kaya dari kapolri  sambo narkoba dan judi mnjd dagangan oknum polisi yg laris manis 
128, maap bos  iklim sedg ga ngetrend di indo  kita bahas  sambo dan berita turunan nya  kanjuruhan dan berita turunan nya  tedy dan berita turunan nya  pokoke yg berhubungan dgn polisi dah  kalau bahas iklim bahas banjir nanti merembet ke  you tau lah 😉🤭
129,  masuk dari mana kan gua udah bilang beresin dulu polisi korupnya 🤣 sambo dan teddy samasama rekening gendut ada pasalnya di uu tipikor terutama teddy yang menggelapkan dan menjual barang bukti itu ada pasalnya juga di uu tipikor
130, hahahha iyaa bgtt sedangkaan sambo dan teddy menghilangkaan kepercayaan masyarakat kpd polisi wkwk
131, nga yakin kalian bisa meneladani jendral hoegeng hanya polisi tidur dan patung polisi yg bisa dipercaya sekarang maaf yaa pak   yakin saya sama pengadilan sambo  dan buka kembali kasus  mungkin baru saya akan bisa percaya sama kalian
132, dari dulu udh turun nama citra kepolisian   banyak polisi yg pungli   polisi yg cuci tangan di depan jendral tapi di blkg busuk and ingkar dgn jnjii sumpah nya  sambo tdk adil dalam tkp  and menjual beli yg di langgar sndri 
133,inilah profil singkat  jenderal polisi diangkat jadi kapolda ada nama penyidik ferdy sambo  amien rais
134,inilah profil singkat  jenderal polisi diangkat jadi kapolda ada nama penyidik ferdy sambo  fredy budiman fadil
135,inilah profil singkat  jenderal polisi diangkat jadi kapolda ada nama penyidik ferdy sambo  perempuandesa
136,kapolri terlalu cepat bikin konpres mungkin dapet bisikan dari si fadil ato geng siluman sambo  polisi baik bakal habis disingkirin  ada yg pengen jd kabareskrim sepertinya 
137, berarti bakal babat habis sambo penembak gas air mata di kanjuruhan dan polisi yang ngedar narkoba kan pak keren
138, kasus sambo teddy minahasa itu hanya puncak es ini cuman akumulasi ketidakpercayaan  masyarakat sm polisi dari dulu terus hanya karna perwira tinggi dipanggil presiden langsung mau percaya kredibilitas ngga dibangun semalam kawan it needs blood and sweat
139,  polisi ini bongkar judi online yg seret si sambo apakah cuman kebetulan wkwk
140,kasus sambo teddy minahasa itu hanya puncak es ini cuman akumulasi ketidakpercayaan  masyarakat sm polisi dari dulu terus hanya karna perwira tinggi dipanggil presiden langsung mau percaya kredibilitas ngga dibangun semalam kawan it needs blood and sweat 
141, rakyat mah udah biasa dgn statement beginian dari polisipolisi yg bermasalah udah belajar banyak dari sambo  
142,polisi sambo polisi teddy 
143,  lha polisi otak aja gapunya lho tnpa mnguranginkebencian saya thd sambo dan smua polisi liat gak laporan autopsi polisi yg ditembak sambo hasilnya gk ditemukan otaknya bos dikepala hahahaha brarti selama ini sya bener polisi gaada otaknya hahaha
144,rentetan kasus ini semua nyambung ga si  mulai dari sambo  kanjuruhan  dan polisi bintang duwa ketangkep narkoba   bener juga kata orang orang  sebusuk busuknya bangkai  kelak akan tercium juga  kebenaran takan pernah mati  lawannn
145,anda berani mengkritisi jajaran kepolisian yg hedon itu benar sebab ada dasarnya yaitu jenderal hoegeng  sendiri menghimbau untuk tak bosan mengkritik polisi sebagai cermin masyarakat dlm menggaungkan kebenarannamun yg di kwatirkan kelompok sambo tak terima lalu menerornya 
146, hukuman mati  sambo enggak  polisi yang kemarin jadi pelaku tragedi kanjuruhan enggak  polisi yang bantai  laskar fpi enggak 
147, kanjuruhan  sambo  ca polda drug dealer  polisi idr
148,ketika dua jenderal polisi bikin ulah belum usai ferdy sambo muncul lagi teddy minahasa 
149,kasus polisi yang terjerat transaksi narkoba dan polisi yang terjerat dalam kasus judi online jangan sampai memutus fokus masyarakat terhadap tragedi kanjuruhan yang masih belum usai
150, sejujurnya tambah turun pak sejak sadar ada gangster di kepolisian macam sambo lalu ternyata polisi pun nggak profesional menangani kerusuhan kanjuruhan pencurian motor oleh polisi sekarang sekelas irjen jualan make narkoba dan menggelapkan sabu barang bukti buat dijual
151,  kalau pingin polisi cepat bersih² dari polisi bobrok dan didukung rakyat yg cinta polisi buka seluas luas proses penyidikan boss judi online spt siarkan proses sidang nya biar rakyat mengikuti spt kasus sambo jgn diem² an
152, bukaan ini polisi   kerajaan sambo yg tdk bisa berhenti mungkin sedang ada cicilan rmh baru yg hrs terus di byr kan🤭🤭tidak mau mendengarkan kapolri‼☝️
153,benar kapolri  polri harus sllu laksanakanampteruskan  yg diajarkanampditeladankan olh almarhum jendral polisi hoegeng is maka  terkait sambo judi online kanjuruhannarkobajg  agar jadi momentum lanjutkn kiprah polisi yg benar spt jend hoegeng 
154,dijual sendiri diberantas sendiri conpres sendiri cari muka sendiri pencitraan sendiri  siapakah dia a oknum b oknum c oknum d oknum   polisi poldajatim  brigjend sambo  teddyminahasa  lestykejora 
155,       ibarat polisi di ring tinju  kasus sambo  kasus stadion kanjuruhan dan terakhir kasus irjen teddi minahasa   pukulan yang membuat polisi terjungkal knock down  wasit menghentikan permainan  polisi game over 
156, jendral polisi vs mafia  sambo
157,  tambah kagak bakal percaya rakyat ke polisi brokalau  nya  saja hampir semua jendral polri sdh terkontaminasi narkoba judi online korupsi dll bro  teddy narkoba eaa sambo judi online 
158,kg bakalan masih banyak lg kasus atas kebobrokan polisi yg akan terbongkar hidup sambo 
159, dari beberapa kasus polisi viral untungnya  kafirunseperti sambo afianta teddycoba klo mereka muslim sudah ngak kebayang fitnahan dan cacian thdp islam radikallah terorislah kadrun lahngeri coii
160,dalam kasus sambo banyak barier menghadapi penyidikan banyak polisi yang ngebela  kasus minahasa ini lempang jalannya langsung jadi tsk indikasi terlalu nggaragas dan banyak yg gak suka
161,              skenarionya memang dibuat seperti itu apalagi kasus ini antar sesama polisi dia lagi dia lagi
162,  ini kapolri yang lemahkok tidak tahu bermasalah tetap di lantik jadi kapolda bertubi tubi tragedi polisi terjadi berat sebelumnya sambo kanjuruhan potong saja kepolisian  generasi bila perlu polisi dipimpin saja sama letkol pangkat tertinggi  
163,perkataan sambo mulai terlihat semua kalo saya jadi tersangka dan tertangkap rahasia negara akan saya bocorkan terlihat semua kejadian di indonesia semakin keruh citra polisi semakin hancur dan di tambah lagi kejadian polisi yg baru atas kasus kanjuruhan dan kasus narkoba
164,apakah ini scr kebetulan atau memang krn kinerja polri klou diamati setiap ada kasus yg besar dan menimpa oknum perwira polisi pasti ada kasus besar yg diungkap kasus ferdy sambo terjadi ada pemberantasan jufi online bandarnya kabur kasus irjen tedy bandar judi ditangkap 
165,yakali dia gak sadar huru hara polri yang sakit jiwa semua jajarannya wkwkw sambo hanya segelintir kecil coba itu digali lagi jangan punya kapel narkoba perjudian prostitusi dll thats why bajingan berhasil lolos org bosnya aja polisi hahahah 
166,bos judi sambo bener bener balas dendam ini polisi beneran diacakacak 🤣 tapi ada untungnya tikus pada keluar sarang
167,bila selama ini uang yang digunakan oleh institusi polisi itu dari rakyat maka siasialah ketika terlahir sosok semodel sambo dan tedy dkk mahal sekali biayanya apalagi sampai ke jenjang perwira    “it is the common peoples duty to police the police” steven m
168,apdetan kasus sambo  kanjuruhan mana nih teralihkan laler dan polisi narkoba narkotika dan cilukba 😠
169, yang penting bukan hangat² tai ayam fakta membuktikan yg sudah² begitu kalau tidak ada kasus sambo mungkin tenang² bae kalian kasus sambo rupanya membuat polisi kayak kucing kebakar ekornya begitulah cara kerja alam alam semesta itu lebih cerdas dari yg kita duga
170, kasus narkoba jangan lupa kalau dulu alam fredy di hukum mati nah oknum polisi ini harusnya dihukum mati juga bila pembunuh dari kalangan rakyat dihukum mati berarti sambo pun harus di hukum mati
171,jadi polisi terkaya sambo atau teddy
